REFERENCE;type de bijoux;description;image;couleur;TITRE;POIDS OR;type de pierres;Poids pierre;tailles disponibles;quantité_ par_ taille;price_euros;stock;fabrication_possible;evenement
SAR00578;bague;solitaire;;YG;9;1,96;Diamant;0,120;48,50,52,54,56,58,92;1,1,1,1,1,1,1;120;7;OUI;bapteme
SAR01501;bague;solitaire;;2T;9;1,56;Diamant;0,140;48,50,52,54,56,58,93;1,1,1,1,1,1,1;132;7;NON;anniversaire mariage,anniversaire rencontre
SAR01680;bague;solitaire;;YG;9;1,30;Diamant;0,020;48,50,52,54,56,58,94;1,1,1,1,1,1,1;43;7;NON;anniversaire mariage,anniversaire rencontre
SAR01681;bague;solitaire;;YG;9;1,45;Diamant;0,040;48,50,52,54,56,58,95;1,1,1,1,1,1,1;63;7;NON;anniversaire mariage,anniversaire rencontre
SAR01682;bague;solitaire;;YG;9;1,65;Diamant;0,080;48,50,52,54,56,58,96;1,1,1,1,1,1,1;91;7;NON;anniversaire mariage,anniversaire rencontre
SAR01683;bague;solitaire;;YG;9;2,52;Diamant;0,200;48,50,52,54,56,58,97;1,1,1,1,1,1,1;221;7;NON;anniversaire mariage,anniversaire rencontre
SAR01685;bague;solitaire;;YG;9;2,70;Diamant;0,320;48,50,52,54,56,58,98;1,1,1,1,1,1,1;375;7;NON;anniversaire mariage,anniversaire rencontre
AJR27807;bague;solitaire;;2T;9;1,80;Diamant;0,050;48,50,52,54,56,58,99;1,1,1,1,1,1,1;76;7;NON;anniversaire mariage,anniversaire rencontre
AJR27846;bague;solitaire;;2T;9;1,25;Diamant;0,070;48,50,52,54,56,58,100;1,1,1,1,1,1,1;70;7;NON;anniversaire mariage,anniversaire rencontre
AJR24856;bague;solitaire;;YG;9;1,61;Diamant;0,020;48,50,52,54,56,58,101;1,1,1,1,1,1,1;107;7;NON;anniversaire mariage,anniversaire rencontre
AJR24857;bague;solitaire;;YG;9;1,70;Diamant;0,020;48,50,52,54,56,58,102;1,1,1,1,1,1,1;78;7;NON;anniversaire mariage,anniversaire rencontre
AJR24908;bague;solitaire;;YG;9;1,60;Diamant;0,020;48,50,52,54,56,58,103;1,1,1,1,1,1,1;75;7;NON;anniversaire mariage,anniversaire rencontre
AJR24912;bague;solitaire;;YG;9;1,64;Diamant;0,020;48,50,52,54,56,58,104;1,1,1,1,1,1,1;75;7;NON;anniversaire mariage,anniversaire rencontre
AJR24917;bague;solitaire;;YG;9;1,50;Diamant;0,036;48,50,52,54,56,58,105;1,1,1,1,1,1,1;85;7;NON;anniversaire mariage,anniversaire rencontre
AJR25774;bague;solitaire;;YG;9;1,80;Diamant;0,070;48,50,52,54,56,58,106;1,1,1,1,1,1,1;106;7;NON;anniversaire mariage,anniversaire rencontre
AJR25942;bague;solitaire;;YG;9;1,70;Diamant;0,070;48,50,52,54,56,58,107;1,1,1,1,1,1,1;91;7;NON;anniversaire mariage,anniversaire rencontre
AJR26028;bague;solitaire;;YG;9;1,60;Diamant;0,038;48,50,52,54,56,58,108;1,1,1,1,1,1,1;102;7;NON;anniversaire mariage,anniversaire rencontre
AJR26215;bague;solitaire;;YG;9;2,20;Diamant;0,067;48,50,52,54,56,58,109;1,1,1,1,1,1,1;136;7;NON;anniversaire mariage,anniversaire rencontre
AJR26294;bague;solitaire;;YG;9;1,45;Diamant;0,010;48,50,52,54,56,58,110;1,1,1,1,1,1,1;80;7;NON;anniversaire mariage,anniversaire rencontre
AJR26302;bague;solitaire;;YG;9;1,85;Diamant;0,110;48,50,52,54,56,58,111;1,1,1,1,1,1,1;114;7;NON;anniversaire mariage,anniversaire rencontre
AJR26324;bague;solitaire;;YG;9;1,45;Diamant;0,047;48,50,52,54,56,58,112;1,1,1,1,1,1,1;98;7;NON;anniversaire mariage,anniversaire rencontre
AJR26353;bague;solitaire;;YG;9;1,55;Diamant;0,058;48,50,52,54,56,58,113;1,1,1,1,1,1,1;115;7;NON;anniversaire mariage,anniversaire rencontre
AJR26361;bague;solitaire;;YG;9;1,30;Diamant;0,031;48,50,52,54,56,58,114;1,1,1,1,1,1,1;126;7;NON;anniversaire mariage,anniversaire rencontre
AJR26425;bague;solitaire;;YG;9;1,60;Diamant;0,180;48,50,52,54,56,58,115;1,1,1,1,1,1,1;294;7;NON;anniversaire mariage,anniversaire rencontre
AJR26560;bague;solitaire;;YG;9;1,00;Diamant;0,006;48,50,52,54,56,58,116;1,1,1,1,1,1,1;69;7;NON;anniversaire mariage,anniversaire rencontre
AJR26563;bague;solitaire;;YG;9;1,05;Diamant;0,020;48,50,52,54,56,58,117;1,1,1,1,1,1,1;53;7;NON;anniversaire mariage,anniversaire rencontre
AJR26569;bague;solitaire;;YG;9;1,03;Diamant;0,030;48,50,52,54,56,58,118;1,1,1,1,1,1,1;61;7;NON;anniversaire mariage,anniversaire rencontre
AJR26571;bague;solitaire;;YG;9;0,90;Diamant;0,006;48,50,52,54,56,58,119;1,1,1,1,1,1,1;66;7;NON;anniversaire mariage,anniversaire rencontre
AJR26576;bague;solitaire;;YG;9;1,35;Diamant;0,020;48,50,52,54,56,58,120;1,1,1,1,1,1,1;61;7;NON;anniversaire mariage,anniversaire rencontre
AJR26577;bague;solitaire;;YG;9;1,25;Diamant;0,020;48,50,52,54,56,58,121;1,1,1,1,1,1,1;59;7;NON;anniversaire mariage,anniversaire rencontre
AJR26585;bague;solitaire;;YG;9;1,05;Diamant;0,030;48,50,52,54,56,58,122;1,1,1,1,1,1,1;61;7;NON;anniversaire mariage,anniversaire rencontre
AJR26587;bague;solitaire;;YG;9;1,25;Diamant;0,020;48,50,52,54,56,58,123;1,1,1,1,1,1,1;78;7;NON;anniversaire mariage,anniversaire rencontre
AJR26617;bague;solitaire;;YG;9;1,10;Diamant;0,013;48,50,52,54,56,58,124;1,1,1,1,1,1,1;85;7;NON;anniversaire mariage,anniversaire rencontre
AJR26623;bague;solitaire;;2T;9;1,80;Diamant;0,015;48,50,52,54,56,58,125;1,1,1,1,1,1,1;104;7;NON;anniversaire mariage,anniversaire rencontre
AJR26652;bague;solitaire;;YG;9;0,80;Diamant;0,019;48,50,52,54,56,58,126;1,1,1,1,1,1,1;61;7;NON;anniversaire mariage,anniversaire rencontre
AJR26681;bague;solitaire;;YG;9;1,05;Diamant;0,006;48,50,52,54,56,58,127;1,1,1,1,1,1,1;59;7;NON;anniversaire mariage,anniversaire rencontre
AJR26683;bague;solitaire;;YG;9;1,10;Diamant;0,006;48,50,52,54,56,58,128;1,1,1,1,1,1,1;56;7;NON;anniversaire mariage,anniversaire rencontre
AJR27373;bague;solitaire;;YG;9;1,35;Diamant;0,030;48,50,52,54,56,58,129;1,1,1,1,1,1,1;98;7;NON;anniversaire mariage,anniversaire rencontre
AJR27399;bague;pave;;YG;9;1,15;Diamant;0,050;48,50,52,54,56,58,130;1,1,1,1,1,1,1;74;7;NON;anniversaire mariage,anniversaire rencontre
AJR27425;bague;pave;;YG;9;1,55;Diamant;0,040;48,50,52,54,56,58,131;1,1,1,1,1,1,1;102;7;NON;anniversaire mariage,anniversaire rencontre
AJR27436;bague;pave;;YG;9;1,48;Diamant;0,018;48,50,52,54,56,58,132;1,1,1,1,1,1,1;77;7;NON;anniversaire mariage,anniversaire rencontre
AJR27438;bague;pave;;YG;9;1,08;Diamant;0,012;48,50,52,54,56,58,133;1,1,1,1,1,1,1;74;7;NON;anniversaire mariage,anniversaire rencontre
AJR27440;bague;pave;;YG;9;1,10;Diamant;0,030;48,50,52,54,56,58,134;1,1,1,1,1,1,1;82;7;NON;anniversaire mariage,anniversaire rencontre
AJR27746;bague;pave;;YG;9;0,83;Diamant;0,010;48,50,52,54,56,58,135;1,1,1,1,1,1,1;38;7;NON;anniversaire mariage,anniversaire rencontre
AJR27748;bague;pave;;YG;9;1,15;Diamant;0,013;48,50,52,54,56,58,136;1,1,1,1,1,1,1;72;7;NON;anniversaire mariage,anniversaire rencontre
AJR27750;bague;pave;;YG;9;1,20;Diamant;0,006;48,50,52,54,56,58,137;1,1,1,1,1,1,1;90;7;NON;anniversaire mariage,anniversaire rencontre
AJR27755;bague;pave;;YG;9;0,90;Diamant;0,036;48,50,52,54,56,58,138;1,1,1,1,1,1,1;90;7;NON;anniversaire mariage,anniversaire rencontre
AJR27759;bague;pave;;YG;9;1,23;Diamant;0,030;48,50,52,54,56,58,139;1,1,1,1,1,1,1;62;7;NON;anniversaire mariage,anniversaire rencontre
AJR27765;bague;pave;;YG;9;0,92;Diamant;0,010;48,50,52,54,56,58,140;1,1,1,1,1,1,1;42;7;NON;anniversaire mariage,anniversaire rencontre
AJR27767;bague;pave;;YG;9;0,81;Diamant;0,006;48,50,52,54,56,58,141;1,1,1,1,1,1,1;35;7;NON;anniversaire mariage,anniversaire rencontre
AJR27781;bague;pave;;YG;9;1,25;Diamant;0,013;48,50,52,54,56,58,142;1,1,1,1,1,1,1;51;7;NON;anniversaire mariage,anniversaire rencontre
AJR27790;bague;pave;;YG;9;1,18;Diamant;0,004;48,50,52,54,56,58,143;1,1,1,1,1,1,1;45;7;NON;anniversaire mariage,anniversaire rencontre
AJR27791;bague;pave;;YG;9;1,45;Diamant;0,020;48,50,52,54,56,58,144;1,1,1,1,1,1,1;61;7;NON;anniversaire mariage,anniversaire rencontre
AJR27793;bague;pave;;YG;9;1,40;Diamant;0,030;48,50,52,54,56,58,145;1,1,1,1,1,1,1;67;7;NON;anniversaire mariage,anniversaire rencontre
AJR27795;bague;pave;;2T;9;1,52;Diamant;0,017;48,50,52,54,56,58,146;1,1,1,1,1,1,1;70;7;NON;anniversaire,diplome
AJR27796;bague;pave;;YG;9;1,33;Diamant;0,020;48,50,52,54,56,58,147;1,1,1,1,1,1,1;56;7;NON;anniversaire,diplome
AJR27799;bague;pave;;YG;9;0,97;Diamant;0,006;48,50,52,54,56,58,148;1,1,1,1,1,1,1;40;7;NON;anniversaire,diplome
AJR27813;bague;pave;;YG;9;2,22;Diamant;0,030;48,50,52,54,56,58,149;1,1,1,1,1,1,1;90;7;NON;anniversaire,diplome
AJR27829;bague;pave;;YG;9;1,15;Diamant;0,050;48,50,52,54,56,58,150;1,1,1,1,1,1,1;77;7;NON;anniversaire,diplome
AJR27841;bague;pave;;YG;9;0,86;Diamant;0,030;48,50,52,54,56,58,151;1,1,1,1,1,1,1;77;7;NON;anniversaire,diplome
AJR27842;bague;pave;;YG;9;0,90;Diamant;0,010;48,50,52,54,56,58,152;1,1,1,1,1,1,1;77;7;NON;anniversaire,diplome
AJR27843;bague;pave;;YG;9;0,80;Diamant;0,010;48,50,52,54,56,58,153;1,1,1,1,1,1,1;77;7;NON;anniversaire,diplome
AJR27858;bague;pave;;YG;9;0,90;Diamant;0,038;48,50,52,54,56,58,154;1,1,1,1,1,1,1;77;7;NON;anniversaire,diplome
AJR27892;bague;trilogie;;YG;9;0,92;Diamant;0,020;48,50,52,54,56,58,155;1,1,1,1,1,1,1;77;7;OUI;anniversaire,diplome
AJR27893;bague;trilogie;;YG;9;0,82;Diamant;0,010;48,50,52,54,56,58,156;1,1,1,1,1,1,1;77;7;OUI;anniversaire,diplome
AJR27963;bague;trilogie;;YG;9;1,46;Diamant;0,020;48,50,52,54,56,58,157;1,1,1,1,1,1,1;77;7;OUI;anniversaire,diplome
AJR28385;bague;trilogie;;YG;9;1,03;Diamant;0,030;48,50,52,54,56,58,158;1,1,1,1,1,1,1;77;7;OUI;anniversaire,diplome
AJR28386;bague;trilogie;;YG;9;1,25;Diamant;0,010;48,50,52,54,56,58,159;1,1,1,1,1,1,1;77;7;OUI;anniversaire,diplome
AJR28387;bague;trilogie;;YG;9;1,20;Diamant;0,009;48,50,52,54,56,58,160;1,1,1,1,1,1,1;77;7;OUI;anniversaire,diplome
AJR28395;bague;trilogie;;YG;9;1,10;Diamant;0,013;48,50,52,54,56,58,161;1,1,1,1,1,1,1;77;7;OUI;anniversaire,diplome
AJR28988;bague;trilogie;;YG;9;1,80;Diamant;0,064;48,50,52,54,56,58,162;1,1,1,1,1,1,1;77;7;OUI;anniversaire,diplome
AJR28993;bague;trilogie;;2T;9;2,45;Diamant;0,068;48,50,52,54,56,58,163;1,1,1,1,1,1,1;77;7;OUI;anniversaire,diplome
SAR00491;bague;trilogie;;YG;9;1,60;Diamant;0,050;48,50,52,54,56,58,164;1,1,1,1,1,1,1;77;7;OUI;anniversaire,diplome
SAR00518;bague;trilogie;;YG;9;1,86;Diamant;0,032;48,50,52,54,56,58,165;1,1,1,1,1,1,1;77;7;OUI;anniversaire,diplome
SAR00526;bague;trilogie;;YG;9;2,72;Diamant;0,040;48,50,52,54,56,58,166;1,1,1,1,1,1,1;77;7;OUI;anniversaire,diplome
SAR00537;bague;trilogie;;YG;9;2,20;Diamant;0,023;48,50,52,54,56,58,167;1,1,1,1,1,1,1;77;7;OUI;anniversaire,diplome
SAR00549;bague;trilogie;;YG;9;1,89;Diamant;0,010;48,50,52,54,56,58,168;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR00584;bague;trilogie;;YG;9;1,90;Diamant;0,045;48,50,52,54,56,58,169;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR00588;bague;trilogie;;YG;9;1,80;Diamant;0,018;48,50,52,54,56,58,170;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR00919;bague;saphir diamants;;YG;9;2,96;Diamant;0,060;48,50,52,54,56,58,171;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR00921;bague;saphir diamants;;YG;9;2,70;Diamant;0,040;48,50,52,54,56,58,172;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR00930;bague;saphir diamants;;YG;9;2,12;Diamant;0,040;48,50,52,54,56,58,173;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR00940;bague;saphir diamants;;YG;9;2,85;Diamant;0,080;48,50,52,54,56,58,174;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR00942;bague;saphir diamants;;YG;9;2,26;Diamant;0,060;48,50,52,54,56,58,175;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR00946;bague;saphir diamants;;YG;9;2,12;Diamant;0,040;48,50,52,54,56,58,176;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR01035;bague;saphir diamants;;YG;9;1,89;Diamant;0,040;48,50,52,54,56,58,177;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR01036;bague;saphir diamants;;YG;9;1,86;;0,040;48,50,52,54,56,58,178;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR01043;bague;saphir diamants;;YG;9;1,90;;0,041;48,50,52,54,56,58,179;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR01051;bague;saphir diamants;;YG;9;2,35;;0,006;48,50,52,54,56,58,180;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR01069;bague;saphir diamants;;YG;9;2,95;;0,080;48,50,52,54,56,58,181;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR01079;bague;saphir diamants;;YG;9;2,60;;0,090;48,50,52,54,56,58,182;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR01080;bague;saphir diamants;;YG;9;2,02;;0,020;48,50,52,54,56,58,183;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR01114;bague;saphir diamants;;YG;9;1,62;;0,040;48,50,52,54,56,58,184;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR01152;bague;saphir diamants;;YG;9;2,42;;0,064;48,50,52,54,56,58,185;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR01290;bague;saphir diamants;;YG;9;1,55;;0,070;48,50,52,54,56,58,186;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR01291;bague;saphir diamants;;YG;9;1,00;;0,060;48,50,52,54,56,58,187;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR01292;bague;saphir diamants;;YG;9;1,27;;0,062;48,50,52,54,56,58,188;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR01294;bague;alliance;;YG;9;1,45;;0,060;48,50,52,54,56,58,189;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR01295;bague;alliance;;YG;9;1,30;;0,060;48,50,52,54,56,58,190;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR01300;bague;alliance;;YG;9;1,32;;0,060;48,50,52,54,56,58,191;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR01302;bague;alliance;;YG;9;1,12;;0,060;48,50,52,54,56,58,192;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR01305;bague;alliance;;YG;9;1,65;;0,074;48,50,52,54,56,58,193;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR01319;bague;alliance;;YG;9;1,54;;0,060;48,50,52,54,56,58,194;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR01519;bague;alliance;;YG;9;2,02;;0,070;48,50,52,54,56,58,195;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR01521;bague;alliance;;YG;9;2,41;;0,066;48,50,52,54,56,58,196;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR01534;bague;alliance;;YG;9;1,38;;0,021;48,50,52,54,56,58,197;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR01535;bague;alliance;;YG;9;1,30;;0,020;48,50,52,54,56,58,198;1,1,1,1,1,1,1;77;7;NON;FIANCAILLE
SAR01539;bague;alliance;;YG;9;1,68;;0,030;48,50,52,54,56,58,199;1,1,1,1,1,1,1;77;7;NON;FIANCAILLE
SAR01540;bague;alliance;;YG;9;1,44;;0,030;48,50,52,54,56,58,200;1,1,1,1,1,1,1;77;7;NON;FIANCAILLE
SAR01541;bague;alliance;;YG;9;1,30;;0,017;48,50,52,54,56,58,201;1,1,1,1,1,1,1;77;7;NON;FIANCAILLE
SAR01612;bague;alliance;;YG;9;2,12;;0,070;48,50,52,54,56,58,202;1,1,1,1,1,1,1;77;7;NON;FIANCAILLE
SAR01739;bague;alliance;;YG;9;2,19;;0,072;48,50,52,54,56,58,203;1,1,1,1,1,1,1;77;7;NON;FIANCAILLE
SAR01741;bague;alliance;;YG;9;1,99;;0,009;48,50,52,54,56,58,204;1,1,1,1,1,1,1;77;7;NON;FIANCAILLE
SAR01833;bague;alliance;;YG;9;1,97;;0,111;48,50,52,54,56,58,205;1,1,1,1,1,1,1;77;7;NON;FIANCAILLE
SAR01850;bague;alliance;;YG;9;1,30;;0,038;48,50,52,54,56,58,206;1,1,1,1,1,1,1;77;7;NON;FIANCAILLE
SAR01860;bague;alliance;;YG;9;1,35;;0,040;48,50,52,54,56,58,207;1,1,1,1,1,1,1;77;7;NON;FIANCAILLE
SAR01880;bague;alliance;;YG;9;1,70;;0,120;48,50,52,54,56,58,208;1,1,1,1,1,1,1;77;7;NON;FIANCAILLE
SAR01881;bague;alliance;;YG;9;1,60;;0,110;48,50,52,54,56,58,209;1,1,1,1,1,1,1;77;7;NON;FIANCAILLE
SAR01885;bague;alliance;;YG;9;1,95;;0,070;48,50,52,54,56,58,210;1,1,1,1,1,1,1;77;7;NON;FIANCAILLE
SAR01900;bague;alliance;;YG;9;1,90;;0,050;48,50,52,54,56,58,211;1,1,1,1,1,1,1;77;7;NON;FIANCAILLE
SAR02160;bague;alliance;;YG;9;1,20;;0,007;48,50,52,54,56,58,212;1,1,1,1,1,1,1;77;7;NON;FIANCAILLE
SAR02270;bague;alliance;;YG;9;2,22;;0,081;48,50,52,54,56,58,213;1,1,1,1,1,1,1;77;7;NON;FIANCAILLE
SAR02338;bague;alliance;;YG;9;1,75;;0,040;48,50,52,54,56,58,214;1,1,1,1,1,1,1;77;7;NON;FIANCAILLE
SAR02341;bague;alliance;;YG;9;1,30;;0,006;48,50,52,54,56,58,215;1,1,1,1,1,1,1;77;7;NON;FIANCAILLE
SAR02343;bague;alliance;;YG;9;1,32;;0,009;48,50,52,54,56,58,216;1,1,1,1,1,1,1;77;7;NON;FIANCAILLE
SAR02348;bague;alliance;;YG;9;1,20;;0,012;48,50,52,54,56,58,217;1,1,1,1,1,1,1;77;7;NON;FIANCAILLE
SAR02353;bague;alliance;;YG;9;2,96;;0,017;48,50,52,54,56,58,218;1,1,1,1,1,1,1;77;7;NON;FIANCAILLE
SAR02354;bague;alliance;;YG;9;0,98;;0,020;48,50,52,54,56,58,219;1,1,1,1,1,1,1;77;7;NON;FIANCAILLE
SAR02355;bague;alliance;;YG;9;0,85;;0,030;48,50,52,54,56,58,220;1,1,1,1,1,1,1;77;7;NON;FIANCAILLE
SAR02356;bague;alliance;;YG;9;0,96;;0,011;48,50,52,54,56,58,221;1,1,1,1,1,1,1;77;7;NON;FIANCAILLE
SAR02357;bague;alliance;;YG;9;0,82;;0,020;48,50,52,54,56,58,222;1,1,1,1,1,1,1;77;7;NON;FIANCAILLE
SAR02369;bague;alliance;;YG;9;2,40;;0,082;48,50,52,54,56,58,223;1,1,1,1,1,1,1;77;7;NON;FIANCAILLE
SAR02449;bague;alliance;;YG;9;1,65;;0,047;48,50,52,54,56,58,224;1,1,1,1,1,1,1;77;7;NON;FIANCAILLE
SAR02464;bague;alliance;;YG;9;1,10;;0,020;48,50,52,54,56,58,225;1,1,1,1,1,1,1;77;7;NON;FIANCAILLE
SAR02466;bague;alliance;;YG;9;1,00;;0,010;48,50,52,54,56,58,226;1,1,1,1,1,1,1;77;7;NON;FIANCAILLE
SAR02467;bague;alliance;;YG;9;1,02;;0,010;48,50,52,54,56,58,227;1,1,1,1,1,1,1;77;7;NON;FIANCAILLE
SAR02468;bague;alliance;;YG;9;1,06;;0,010;48,50,52,54,56,58,228;1,1,1,1,1,1,1;77;7;NON;FIANCAILLE
SAR02469;bague;alliance;;YG;9;1,08;;0,010;48,50,52,54,56,58,229;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR02484;bague;alliance;;YG;9;1,14;;0,010;48,50,52,54,56,58,230;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR02491;bague;alliance;;YG;9;1,10;;0,009;48,50,52,54,56,58,231;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR02505;bague;alliance;;YG;9;1,25;;0,040;48,50,52,54,56,58,232;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR02506;bague;alliance;;YG;9;1,05;;0,023;48,50,52,54,56,58,233;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
